
  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
   public.ops_alerts_key_key                                              | 16 kB      | 100%         | 1148920     | 0         | false  
   public.artemis_source_documents_source_type_idx                        | 16 kB      | 0%           | 0           | 0         | true   
   public.social_posts_launch_update_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_social_matches_launch_platform_post_uidx                 | 16 kB      | 100%         | 41          | 0         | false  
   public.artemis_timeline_events_announced_time_idx                      | 16 kB      | 100%         | 5           | 0         | false  
   public.artemis_ingest_checkpoints_pkey                                 | 16 kB      | 100%         | 1578        | 0         | false  
   public.launch_weather_launch_id_source_uidx                            | 16 kB      | 100%         | 15477       | 0         | false  
   public.faa_launch_matches_faa_tfr_shape_id_idx                         | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_notification_prefs_user_idx                              | 16 kB      | 100%         | 3           | 0         | false  
   public.system_settings_updated_by_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_event_launches_launch_id_idx                                | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payloads_pkey                                               | 16 kB      | 100%         | 406         | 0         | false  
   public.embed_widgets_pkey                                              | 16 kB      | 100%         | 3           | 0         | false  
   public.artemis_mission_snapshots_pkey                                  | 16 kB      | 100%         | 1297        | 0         | false  
   public.social_posts_no_launch_day_uidx                                 | 16 kB      | 100%         | 102         | 0         | false  
   public.faa_tfr_records_mod_at_idx                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_flight_docking_events_pkey                          | 16 kB      | 100%         | 6           | 0         | false  
   public.social_accounts_platform_provider_handle_uidx                   | 16 kB      | 100%         | 7           | 0         | false  
   public.ll2_expeditions_station_idx                                     | 16 kB      | 0%           | 0           | 0         | true   
   public.providers_public_cache_pkey                                     | 16 kB      | 100%         | 25652       | 0         | false  
   public.ll2_launchers_config_idx                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_fetched_at_idx                            | 16 kB      | 100%         | 1           | 0         | false  
   public.ll2_astronaut_launches_ll2_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.nws_points_fetched_at_idx                                       | 16 kB      | 0%           | 0           | 0         | true   
   public.social_posts_status_idx                                         | 16 kB      | 100%         | 5022        | 0         | false  
   public.launch_weather_launch_id_idx                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_pdf_url_pdf_sha256_key                    | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_timeline_events_supersedes_idx                          | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payloads_name_idx                                           | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecrafts_config_idx                                      | 16 kB      | 100%         | 77080       | 0         | false  
   public.artemis_budget_lines_pkey                                       | 16 kB      | 0%           | 0           | 0         | true   
   public.notifications_outbox_status_idx                                 | 16 kB      | 100%         | 65978       | 0         | false  
   public.launch_trajectory_products_ingestion_run_id_idx                 | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_notam_details_faa_tfr_record_id_idx                         | 16 kB      | 0%           | 0           | 0         | true   
   public.subscriptions_stripe_subscription_id_key                        | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_launch_matches_record_launch_origin_uidx                    | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_flight_docking_events_docking_idx                   | 16 kB      | 100%         | 311         | 0         | false  
   public.profiles_pkey                                                   | 16 kB      | 100%         | 5           | 0         | false  
   public.celestrak_datasets_dataset_type_code_key                        | 16 kB      | 100%         | 5227        | 0         | false  
   public.ll2_payload_flights_launch_idx                                  | 16 kB      | 100%         | 42929       | 0         | false  
   public.social_posts_mission_brief_uidx                                 | 16 kB      | 100%         | 1346        | 0         | false  
